Response ID,numfriends,meetnewppl
77821704,9,1
78204464,10,1
80111102,30,1
80436556,31,1
79044513,33,1
80270849,35,1
77884714,35,1
77743131,45,1
80760277,50,1
77742696,50,1
78126517,55,1
78847691,60,1
77820643,60,1
77792419,60,1
78884948,60,1
78858275,70,1
78846770,70,1
80282015,88,1
80189114,100,1
78861042,100,1
80833954,100,1
79404744,100,1
77841051,120,1
80184450,120,1
77825876,127,1
77773672,128,1
81097085,150,1
78878824,160,1
80795160,162,1
80079707,164,1
80210064,165,1
80077703,170,1
81096284,170,1
79109616,178,1
78351908,180,1
80817805,190,1
78872017,200,1
78779963,200,1
80074992,200,1
79697607,200,1
77760836,200,1
78023020,200,1
80238009,200,1
77774648,200,1
80500769,200,1
77747637,200,1
78857240,200,1
80149976,203,1
78891052,217,1
79288345,225,1
78852959,229,1
78863093,234,1
80102130,239,1
80135092,248,1
78874091,250,1
81079458,250,1
80206043,250,1
78915684,250,1
77797041,250,1
80769883,250,1
77755011,261,1
79099081,268,1
80610556,269,1
80264562,270,1
80780051,275,1
78905816,290,1
78023648,297,1
77856712,299,1
77843593,299,1
80231111,300,1
77763028,300,1
80112119,300,1
80166193,300,1
80093724,300,1
80247218,300,1
81738173,300,1
77807999,300,1
80205765,300,1
77743674,300,1
79097890,300,1
78862961,300,1
80152906,300,1
80828685,304,1
77858872,310,1
80237918,318,1
80800635,337,1
78887657,350,1
77825732,350,1
77885285,350,1
83135815,367,1
80837745,370,1
77832929,380,1
77745898,380,1
81129175,400,1
79773469,400,1
81681209,400,1
78857060,400,1
77822805,400,1
78185409,400,1
77755067,400,1
80148422,400,1
83170205,400,1
79726602,400,1
77830024,400,1
77825267,400,1
79240382,400,1
77852844,404,1
80213545,412,1
79416814,420,1
77804762,429,1
77889191,450,1
78877514,450,1
77769157,450,1
81695871,452,1
78877130,453,1
80786041,467,1
78906210,480,1
77767623,496,1
78064711,500,1
77765806,500,1
78867731,500,1
77836509,500,1
77852092,500,1
77879352,500,1
77766744,500,1
80175533,530,1
77753324,535,1
80229687,550,1
78856429,550,1
78074000,580,1
81084295,600,1
81888297,600,1
78888725,600,1
77766538,600,1
77811496,600,1
80289607,613,1
79302585,636,1
77745646,647,1
80248310,650,1
77778599,655,1
77823184,682,1
77841740,688,1
77817849,700,1
80182245,700,1
80223971,700,1
77888391,700,1
80222632,700,1
77820950,700,1
78855328,700,1
81077548,708,1
77877567,711,1
80208525,717,1
80791991,750,1
79052266,750,1
80096314,800,1
81681136,800,1
80241475,860,1
80113461,900,1
77888077,900,1
80110406,950,1
80247913,974,1
78022678,990,1
77748700,1000,1
77765713,1000,1
83159238,1000,1
78856484,1000,1
77764021,1101,1
77759803,1228,1
80211540,1473,1
79118604,20,2
80788268,26,2
77752214,40,2
78046623,109,2
77811876,113,2
80083432,130,2
81154095,150,2
80246224,170,2
78904687,171,2
77815383,175,2
80284100,186,2
77746010,187,2
77753936,200,2
80812073,200,2
80498664,200,2
77846812,200,2
77842235,200,2
77760456,200,2
77859425,215,2
80238134,225,2
77791847,230,2
78040487,250,2
77743799,250,2
78897086,260,2
77825306,270,2
78202711,300,2
77748268,300,2
80137792,300,2
77751610,300,2
80207515,300,2
77746787,300,2
78856130,300,2
77788323,303,2
80275259,310,2
77744195,315,2
80248219,320,2
77833652,320,2
79029323,350,2
77791900,350,2
77885529,350,2
80210707,351,2
78858474,375,2
80921989,375,2
77889471,380,2
80117190,400,2
77747488,400,2
81236380,400,2
78874420,400,2
78848970,400,2
80620595,400,2
80106141,400,2
82025121,400,2
81081640,400,2
80888313,438,2
77743112,449,2
78884719,450,2
77926340,451,2
80075300,500,2
77816244,500,2
80788179,500,2
80219022,500,2
80103079,500,2
77901928,500,2
81163708,500,2
78180456,500,2
81113184,570,2
77743550,600,2
77755892,600,2
77799889,600,2
81105148,600,2
79017688,610,2
81118224,643,2
77744834,645,2
81080177,650,2
80154232,650,2
77824099,650,2
80106678,656,2
77821117,700,2
77870515,700,2
78871789,700,2
83097021,700,2
80125408,700,2
79062133,700,2
78879003,740,2
81059135,800,2
77752676,800,2
78056850,858,2
80217545,900,2
81114725,900,2
79319320,921,2
77824125,946,2
83079933,966,2
77820243,1091,2
77852722,1100,2
77906146,1200,2
83349270,1200,2
80227316,1408,2
77748638,1700,2
77745561,20,3
80221924,137,3
80171795,150,3
78927775,177,3
77760659,185,3
80207797,200,3
77754025,200,3
80891367,200,3
77745729,200,3
80142080,200,3
81090384,200,3
79011047,260,3
80292793,261,3
80103388,265,3
77902529,280,3
77803340,290,3
77784238,300,3
80133117,300,3
77759407,300,3
81664636,300,3
80110173,300,3
83080405,300,3
77754652,300,3
78443329,323,3
80285522,350,3
78889921,368,3
77900342,390,3
80118703,400,3
80125484,400,3
77748009,400,3
77765960,425,3
78861327,438,3
77742598,459,3
83118485,460,3
78694964,466,3
77852206,500,3
78859232,500,3
78672435,500,3
77743809,555,3
80264149,561,3
77752890,583,3
77839003,590,3
77798205,600,3
77815540,600,3
77815014,700,3
80437415,700,3
77816741,750,3
78094882,757,3
80628379,900,3
77802577,927,3
78092937,1200,3
78849566,20,4
77754239,100,4
80273871,120,4
78870342,133,4
80226871,154,4
78926474,200,4
80141764,200,4
77871617,210,4
77817424,228,4
81661539,232,4
77832861,250,4
80107030,300,4
77769221,300,4
78190172,314,4
80099339,322,4
78150461,345,4
78863554,350,4
77805329,350,4
83186317,350,4
81078055,350,4
77852784,380,4
77757677,387,4
78015271,400,4
80113449,400,4
78072800,400,4
77838902,400,4
79118520,400,4
77857284,420,4
80093329,430,4
80619762,450,4
77751782,468,4
80078146,480,4
81369588,490,4
78894313,497,4
77816784,500,4
81173408,500,4
79085611,500,4
77759281,500,4
77772544,500,4
77753475,500,4
80215272,500,4
78859936,539,4
80769610,575,4
78481620,600,4
81128775,600,4
81054748,675,4
80818542,700,4
81427275,700,4
77758966,708,4
78004341,710,4
80838761,750,4
77749578,815,4
77857065,857,4
81430663,868,4
77746431,920,4
80798433,1000,4
80444806,1000,4
77742868,1300,4
77837680,250,5
77864721,315,5
81091542,450,5
80231169,510,5
78137069,614,5
80111704,650,5
83093676,1289,5
